match_number,stage,group,date,time_et,time_local,team_a,team_b,venue,city,country,status,source
81,Round of 32,,2026-07-01,20:00,17:00,Group D Winner,Group B/E/F/I/J 3rd Place,Levi's Stadium,San Francisco Bay Area,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
82,Round of 32,,2026-07-01,16:00,13:00,Group G Winner,Group A/E/H/I/J 3rd Place,Lumen Field,Seattle,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
83,Round of 32,,2026-07-02,19:00,19:00,Group K Runner-up,Group L Runner-up,BMO Field,Toronto,Canada,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
84,Round of 32,,2026-07-02,15:00,12:00,Group H Winner,Group J Runner-up,SoFi Stadium,Los Angeles,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
85,Round of 32,,2026-07-02,23:00,20:00,Group B Winner,Group E/F/G/I/J 3rd Place,BC Place,Vancouver,Canada,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
86,Round of 32,,2026-07-03,18:00,18:00,Group J Winner,Group H Runner-up,Hard Rock Stadium,Miami,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
87,Round of 32,,2026-07-03,21:30,20:30,Group K Winner,Group D/E/I/J/L 3rd Place,Arrowhead Stadium,Kansas City,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
88,Round of 32,,2026-07-03,14:00,13:00,Group D Runner-up,Group G Runner-up,AT&T Stadium,Dallas,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
89,Round of 16,,2026-07-04,17:00,17:00,Match 74 Winner,Match 77 Winner,Lincoln Financial Field,Philadelphia,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
90,Round of 16,,2026-07-04,13:00,12:00,Match 73 Winner,Match 75 Winner,NRG Stadium,Houston,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
91,Round of 16,,2026-07-05,16:00,16:00,Match 76 Winner,Match 78 Winner,MetLife Stadium,New York/New Jersey,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
92,Round of 16,,2026-07-05,20:00,18:00,Match 79 Winner,Match 80 Winner,Estadio Azteca,Mexico City,Mexico,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
93,Round of 16,,2026-07-06,15:00,14:00,Match 83 Winner,Match 84 Winner,AT&T Stadium,Dallas,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
94,Round of 16,,2026-07-06,20:00,17:00,Match 81 Winner,Match 82 Winner,Lumen Field,Seattle,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
95,Round of 16,,2026-07-07,12:00,12:00,Match 86 Winner,Match 88 Winner,Mercedes-Benz Stadium,Atlanta,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
96,Round of 16,,2026-07-07,16:00,13:00,Match 85 Winner,Match 87 Winner,BC Place,Vancouver,Canada,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
97,Quarter-finals,,2026-07-09,16:00,16:00,Match 89 Winner,Match 90 Winner,Gillette Stadium,Boston,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
98,Quarter-finals,,2026-07-10,15:00,12:00,Match 93 Winner,Match 94 Winner,SoFi Stadium,Los Angeles,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
99,Quarter-finals,,2026-07-11,17:00,17:00,Match 91 Winner,Match 92 Winner,Hard Rock Stadium,Miami,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
100,Quarter-finals,,2026-07-11,21:00,20:00,Match 95 Winner,Match 96 Winner,Arrowhead Stadium,Kansas City,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
101,Semi-finals,,2026-07-14,15:00,14:00,Match 97 Winner,Match 98 Winner,AT&T Stadium,Dallas,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
102,Semi-finals,,2026-07-15,15:00,15:00,Match 99 Winner,Match 100 Winner,Mercedes-Benz Stadium,Atlanta,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
103,Third Place,,2026-07-18,17:00,17:00,Match 101 Loser,Match 102 Loser,Hard Rock Stadium,Miami,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
104,Final,,2026-07-19,15:00,15:00,Match 101 Winner,Match 102 Winner,MetLife Stadium,New York/New Jersey,United States,bracket_slot,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
